movieId,userId,rating,timestamp,label,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
169034,296,4.5,1532994043,1,2016,(no genres listed),"","",1,4.50,0.00,7156,65261,5618,1201,48394,20,1999,10.70,4.67,0.47,Drama,Action,Thriller,Crime,War
356,296,5.0,1532993877,1,1994,Comedy,Drama,Romance,329,4.16,0.83,50,110,296,2028,2324,11,1997,4.67,4.82,0.25,Drama,Action,Thriller,Crime,War
50,296,5.0,1532993858,1,1995,Crime,Mystery,Thriller,204,4.24,0.80,110,296,2028,2324,2571,10,1997,4.86,4.80,0.26,Drama,Action,Thriller,Crime,War
780,467,2.0,919672355,0,1996,Action,Adventure,Sci-Fi,202,3.45,1.00,389,58,1365,1721,1357,20,1995,4.00,3.60,1.35,Drama,War,Romance,Comedy,Action
103341,125,4.5,1474295694,1,2013,Action,Comedy,Sci-Fi,18,3.42,1.30,47491,27482,142456,110882,131920,96,2003,11.61,4.07,1.08,Drama,Comedy,Action,Thriller,Romance
106782,125,4.5,1474283367,1,2013,Comedy,Crime,Drama,54,3.92,1.08,76251,76093,134130,99114,9010,24,2000,13.21,4.23,1.28,Drama,Comedy,Action,Thriller,Romance
108727,125,4.0,1474592613,1,2013,Drama,"","",2,4.25,0.35,94931,60950,3052,2596,127198,100,2007,5.99,3.48,0.70,Drama,Action,Comedy,Sci-Fi,Adventure
110882,125,4.5,1474295613,1,2013,Drama,"","",3,3.83,0.76,131920,142509,45440,105213,91690,92,2003,11.76,4.05,1.10,Drama,Comedy,Action,Thriller,Romance
111759,125,4.0,1474283560,1,2014,Action,Sci-Fi,IMAX,44,3.98,0.71,122882,106782,76251,76093,134130,26,2001,13.22,4.25,1.23,Drama,Comedy,Action,Thriller,Crime
112,451,5.0,854089243,1,1995,Action,Adventure,Comedy,46,3.54,0.93,6,25,17,648,95,11,1995,0.52,4.09,0.83,Thriller,Action,Adventure,Romance,Mystery
112183,125,4.0,1474283809,1,2014,Comedy,Drama,"",26,3.35,1.21,122904,92259,106920,111759,122882,30,2002,12.99,4.23,1.14,Drama,Comedy,Action,Sci-Fi,Thriller
116897,125,4.5,1474295720,1,2014,Comedy,Drama,Thriller,10,4.25,0.79,103341,47491,27482,142456,110882,97,2003,11.59,4.08,1.07,Drama,Comedy,Action,Sci-Fi,Thriller
119145,125,4.0,1474570052,1,2015,Action,Adventure,Comedy,36,3.99,0.80,95167,80549,1580,162082,84952,100,2006,6.29,3.50,0.69,Drama,Action,Sci-Fi,Thriller,Adventure
1206,125,4.5,1474371143,1,1971,Crime,Drama,Sci-Fi,120,4.00,1.01,79553,7438,2,2918,6874,100,2004,9.30,4.16,0.88,Drama,Comedy,Thriller,Action,Romance
1210,125,4.0,1474289493,1,1983,Action,Adventure,Sci-Fi,196,4.14,0.87,128360,138036,112183,122904,92259,34,2004,12.78,4.18,1.09,Drama,Comedy,Action,Sci-Fi,Thriller
122922,125,4.0,1480789759,1,2016,Action,Adventure,Sci-Fi,22,3.70,0.93,135143,137857,161131,164179,140928,100,2009,6.76,3.70,0.65,Drama,Comedy,Action,Sci-Fi,Adventure
1285,125,3.5,1474412064,1,1989,Comedy,"","",41,3.73,1.01,1732,1261,152091,27022,1034,100,2005,8.87,4.08,0.75,Comedy,Drama,Thriller,Sci-Fi,Action
128620,125,4.0,1476224234,1,2015,Crime,Drama,Romance,5,3.90,0.65,101112,162478,112623,8376,5956,100,2008,6.86,3.71,0.67,Drama,Action,Comedy,Sci-Fi,Adventure
131920,125,4.5,1474295590,1,2014,Comedy,Drama,"",1,4.50,0.00,142509,45440,105213,91690,149830,91,2003,11.76,4.05,1.10,Drama,Comedy,Action,Thriller,Romance
135143,125,3.5,1480789755,1,2016,Fantasy,"","",14,3.68,0.75,137857,161131,164179,140928,159717,100,2009,6.78,3.71,0.65,Drama,Comedy,Action,Sci-Fi,Adventure
135887,125,3.0,1474414799,0,2015,Adventure,Animation,Children,15,3.17,1.28,112552,104374,1265,27788,4226,100,2006,8.03,4.05,0.65,Comedy,Drama,Thriller,Sci-Fi,Action
137857,125,3.5,1480789748,1,2016,Adventure,Drama,Fantasy,11,3.64,0.81,161131,164179,140928,159717,160563,100,2009,6.83,3.71,0.65,Drama,Comedy,Action,Sci-Fi,Adventure
138036,125,4.0,1474283878,1,2015,Action,Adventure,Comedy,18,3.47,0.92,112183,122904,92259,106920,111759,31,2003,12.93,4.23,1.12,Drama,Comedy,Action,Sci-Fi,Thriller
139385,125,3.0,1474284127,0,2015,Adventure,Drama,"",31,3.90,1.05,138036,112183,122904,92259,106920,32,2003,12.89,4.22,1.11,Drama,Comedy,Action,Sci-Fi,Thriller
142222,125,4.0,1475147204,1,2016,Drama,"","",4,3.12,1.18,151695,133217,152284,127202,32460,100,2007,6.28,3.60,0.64,Drama,Action,Comedy,Sci-Fi,Adventure
149146,125,4.0,1475264558,1,2015,Horror,Sci-Fi,"",1,4.00,0.00,149144,44974,141408,142222,151695,100,2007,6.34,3.65,0.62,Drama,Action,Comedy,Sci-Fi,Adventure
149830,125,4.5,1474295465,1,2016,Comedy,Horror,Romance,1,4.50,0.00,133771,158966,223,1084,65130,86,2002,11.86,4.02,1.13,Drama,Comedy,Action,Thriller,Romance
151455,125,4.0,1485622301,1,2016,Comedy,"","",3,2.83,1.04,167790,162350,161966,161580,122890,100,2010,6.87,3.67,0.58,Comedy,Drama,Action,Sci-Fi,Adventure
152091,125,4.0,1474411738,1,2016,Comedy,"","",4,3.12,0.63,27022,1034,555,2387,119141,100,2005,8.68,4.09,0.77,Drama,Comedy,Thriller,Sci-Fi,Action
152970,125,4.0,1481392558,1,2016,Adventure,Comedy,"",4,4.38,0.25,160567,139855,122922,135143,137857,100,2010,6.69,3.67,0.66,Comedy,Drama,Action,Sci-Fi,Adventure
158872,125,5.0,1474141733,1,2016,Animation,Comedy,"",7,3.64,1.49,7371,94959,5088,2571,296,9,1991,14.30,4.78,0.36,Drama,Crime,Thriller,Comedy,Action
159717,125,3.5,1478197208,1,2016,Drama,"","",2,3.75,0.35,160563,160271,156387,159415,96588,100,2008,6.93,3.72,0.67,Drama,Comedy,Action,Sci-Fi,Adventure
161131,125,3.5,1480789738,1,2016,Comedy,"","",8,3.62,0.58,164179,140928,159717,160563,160271,100,2009,6.83,3.71,0.65,Drama,Comedy,Action,Sci-Fi,Adventure
161582,125,4.0,1494785040,1,2016,Crime,Drama,"",8,3.56,1.32,168252,168250,158783,164909,166461,100,2011,6.88,3.67,0.58,Comedy,Drama,Action,Sci-Fi,Adventure
164179,125,3.5,1480789721,1,2016,Sci-Fi,"","",26,3.98,0.74,140928,159717,160563,160271,156387,100,2009,6.84,3.73,0.66,Drama,Comedy,Action,Sci-Fi,Adventure
166635,125,4.0,1513697360,1,2016,Adventure,Drama,Romance,6,3.67,0.41,143355,171763,176371,174053,33794,100,2012,6.48,3.69,0.60,Comedy,Drama,Action,Adventure,Sci-Fi
168252,125,3.5,1494785017,1,2017,Action,Sci-Fi,"",25,4.28,0.65,168250,158783,164909,166461,151455,100,2011,6.86,3.67,0.58,Comedy,Drama,Action,Sci-Fi,Adventure
17,451,5.0,854089172,1,1995,Drama,Romance,"",67,3.78,1.15,648,95,141,1,32,7,1995,0.49,4.00,0.82,Thriller,Adventure,Action,Mystery,Comedy
